"RenaissanceClientID","SchoolYear","StudentRenaissanceID","StudentSourcedID","StudentIdentifier","StudentUserID","StudentStateID","AssessmentID","LaunchDate","CompletedDate","CompletedDateLocal","FamilyName","DomainName","DomainScore","SkillAreaName","SkillAreaMasteryScore"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Reading","Reading Across Genres","75","Main Idea and Details","75"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Reading","Reading Prose and Poetry","44","Author's Word Choice and Figurative Language","38"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Reading","Reading Prose and Poetry","44","Word Families/Rhyming","50"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Reading","Reading Informational Text","75","Main Idea and Details","75"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Vocabulary","Finding Meaning","44","Word Relationships","89"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Vocabulary","Finding Meaning","44","Context Clues","41"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Foundational Skills","Print Concepts","75","Print Concepts","60"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Foundational Skills","Print Concepts","75","Alphabetic Knowledge","81"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Foundational Skills","Fluency","69","Irregular Spellings / High-Frequency and Exception Words","69"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Foundational Skills","Phonics and Word Analysis","55","Vowel Sounds","55"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Foundational Skills","Phonological Awareness","54","Blending and Segmenting","60"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Foundational Skills","Phonological Awareness","54","Word Families/Rhyming","50"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Foundational Skills","Phonological Awareness","54","Syllables","67"
"7807984","2023-2024","d61194bf-ee84-4df5-8ce2-9333bd9be153","302689","302689","302689","FL000010437362","b2a25c1a-d5b7-4013-b7be-e994b103b0e7","2023-09-12 13:49:19.020","2023-09-12 14:03:03.517","2023-09-12 10:03:03.517","Foundational Skills","Phonological Awareness","54","Phonemes","46"
"7807984","2023-2024","d2a82f48-32df-46b9-a993-198d522c7669","302361","302361","302361","FL000010556247","af66c7b5-3dba-4868-9f8f-635d2d700c1a","2023-09-12 13:27:06.437","2023-09-12 13:40:50.287","2023-09-12 09:40:50.287","Reading","Reading Across Genres","75","Main Idea and Details","75"
"7807984","2023-2024","d2a82f48-32df-46b9-a993-198d522c7669","302361","302361","302361","FL000010556247","af66c7b5-3dba-4868-9f8f-635d2d700c1a","2023-09-12 13:27:06.437","2023-09-12 13:40:50.287","2023-09-12 09:40:50.287","Reading","Reading Prose and Poetry","43","Author's Word Choice and Figurative Language","38"
"7807984","2023-2024","d2a82f48-32df-46b9-a993-198d522c7669","302361","302361","302361","FL000010556247","af66c7b5-3dba-4868-9f8f-635d2d700c1a","2023-09-12 13:27:06.437","2023-09-12 13:40:50.287","2023-09-12 09:40:50.287","Reading","Reading Prose and Poetry","43","Word Families/Rhyming","49"
"7807984","2023-2024","d2a82f48-32df-46b9-a993-198d522c7669","302361","302361","302361","FL000010556247","af66c7b5-3dba-4868-9f8f-635d2d700c1a","2023-09-12 13:27:06.437","2023-09-12 13:40:50.287","2023-09-12 09:40:50.287","Reading","Reading Informational Text","75","Main Idea and Details","75"
